
Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System,"Last month a Health and Human Services official revealed the government was unable to locate nearly 1,500 children who had been released from its custody."
'Trump's Son Should Be Concerned': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr.,"The wiretaps feature conversations between Alexander Torshin and Alexander Romanov, a convicted Russian money launderer."
Edward Snowden: There's No One Trump Loves More Than Vladimir Putin,"But don't count on Robert Mueller to nail him, the NSA whistleblower warns."
Booyah: Obama Photographer Hilariously Trolls Trump's 'Spy' Claim,Just a peeping minute.
Ireland Votes To Repeal Abortion Amendment In Landslide Referendum,Irish women will no longer have to travel to the United Kingdom to end their pregnancies.
Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation,The interior secretary attempts damage control with hunting and fishing groups that didn’t like his fossil fuel focus.
Trump's Scottish Golf Resort Pays Women Significantly Less Than Men: Report,And there are four times as many male as female executives.
"Jack Johnson Was Pardoned, But Taboo Sex Is Still Being Criminalized",A new law to fight sex trafficking targets some of the people it ostensibly aims to protect.
Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus',"For Curry and others, being Christian means rejecting white nationalism and misogyny, while protecting immigrants, refugees and the poor."
How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today,The Chinese Exclusion Act barely gets mentioned in U.S. history classes. A new PBS documentary from directors Ric Burns and Li-Shin Yu could change that.
Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report,"Stone's contact with Julian Assange reportedly told him he couldn't ask WikiLeaks favors ""every other day."""
Publix Suspends Contributions To NRA-Backed Politician Amid Protests,"""Publix knows we're not going away,"" one gun-control activist said."
"Twitter Bots May Have Delivered Donald Trump's Victory, Research Paper Says","“Our results suggest that, given narrow margins of victories in each vote, bots’ effect was likely marginal but possibly large enough to affect the outcomes."""
A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep,"A videographer made fun of the far-right extremist group online, so they showed up at his house."
All The Things The NRA Has Blamed For The Texas School Shooting,Godlessness. Too many doors in schools. Ritalin. Guess what's not on the list?
Here's What Happens When A Catholic Hospital Won't Try To Save You,Catholic hospital systems are pushing Trump to expand “conscience rights” – even though faith-based medicine has nearly killed some of their patients.
Trump's New Executive Orders Make It Easier To Fire Federal Workers,Unions denounced the president's actions an “assault on democracy.”
Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming',"""The process of writing this book has been so personally meaningful and illuminating for me."""
Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims,"""Trump's more concerned about Tomi Lahren being splashed with water than Flint still being entirely without safe water."""
Trump Abruptly Cancels North Korea Summit With Kim Jong Un,Trump cited North Korea’s “tremendous anger and open hostility” in calling off the June 12 Singapore meeting.
Devin Nunes-Linked Winery Faced Suit Over Alleged Coke And Prostitute Yacht Party,"The lawmaker is reportedly one of at least 50 investors in the winery, though the company said they were not involved in the party."
"Immigrant Children Accuse Border Patrol Of Abuse And Neglect, Report Shows","One 16-year-old filed a complaint alleging that a Border Patrol agent ""threw him down and smashed his head into the ground with his boot."""
Ireland's Historic Vote On Legalizing Abortion Is Haunted By Trump And Brexit,American influence could tip the referendum.
Trump Lawyer Attended DOJ Meeting On Confidential FBI Informant,"Emmet Flood, the White House attorney dealing with the Russia probe, was present at a controversial DOJ meeting about the investigation."
"Senate Advances Court Pick Who Said Planned Parenthood 'Kills Over 150,000 Females A Year’",Every Republican on the judiciary committee voted for Wendy Vitter.
Rudy Giuliani: Trump Won't Interview With Mueller Until We Get ‘Spygate’ Report,The canceled North Korea summit doesn’t mean the president will be talking to the special counsel anytime soon.
Kentucky Attorney Running For Judge Dies 1 Day After Primary Win,"Danny Alvarez, a married of father of three, was vying for Jefferson County District Court judge in Louisville."
Chrissy Teigen Taunts Donald Trump Over Twitter Blocking Ruling,"Other tweeters, including Mexico's former president Vicente Fox, also poked fun at Trump over the news."
The Koch Network Is Going After One Of Trump’s Favorite Congressmen,The billionaire Koch brothers’ political network wants to show it will punish Republicans who don’t support its agenda.
Scott Pruitt Twice Introduced Anti-Abortion Bills Giving Men ‘Property Rights’ Over Fetuses,"Before he was Trump's embattled EPA chief, Pruitt was a state politician who backed draconian abortion restrictions."
Twitter Critics Mercilessly Mock Trump For Canceling Summit With Kim,"""Pot meet kettle."""
Civil Rights Groups Rip Senate Bill Revising Its Own Sexual Harassment Policy,"The bill would let lawmakers hide past offenses and only be punished for ""severe or pervasive"" harassment, the ACLU said."
Alabama Sues To Exclude Undocumented Immigrants From Census Count,Legal experts say the suit has some big flaws.
Cynthia Nixon Vows To Keep Fighting After (Predictably) Losing Party Endorsement,She plans to get the required number of petition signatures to make it onto the ballot.
White House Officials Reportedly Considered Just 'Ignoring' New Climate Research,An internal memo obtained by The Washington Post offers a glimpse into the challenges faced by the Trump administration on the issue of climate change.
Read Trump's Letter To Kim Jong Un Canceling North Korea Summit,"Basically: ""It's not me, it's you."""
Facebook's New Ad Rules Prove It's Basically In Charge Of Regulating Elections Now,"Sure, this seems like the kind of thing a private company should be in charge of. Welcome to the Facebook Election Commission."
Border Agent Fatally Shoots Migrant Woman In Texas,“Why did you shoot at the girl? You killed her!” a bystander asks in viral video that shows the aftermath of the shooting.
Trump Opens Door For U.S. Gun Industry To Sell More Firearms Abroad,Senators and human rights groups worry the proposed rule changes will export the U.S. gun violence epidemic.
'Stormy Daniels Day' Declared In West Hollywood As Adult Star Gets Key To City,"The California city recognized her as a “national figure in the resistance to the Trump Administration."""
A Judge Ruled One Immigrant Had A Right To A Hearing. What About All The Others?,The Supreme Court will likely have to determine whether indefinite detention without a bond hearing violates the Constitution.
House Democrats Offer Internships For Students Affected By Gun Violence,"“It’s important that we learn from their experience."""
Betsy DeVos Stirs Uproar By Saying Schools Can Call ICE On Undocumented Kids,"The education secretary said it's a local decision, but she didn't argue against it."
"6 Sandy Hook Families, FBI Agent Sue Alex Jones For Defamation",The lawsuit is the latest of several targeting the Infowars conspiracy theorist.
High School Teacher Defeats Kentucky House Majority Leader In GOP Primary,The upset comes after widespread teacher protests over pension and education budget cuts.
Lupe Valdez Makes History In Texas By Winning Democratic Nod For Governor,The former sheriff ― the first Latina nominated for Texas governor by a major party ― now faces GOP Gov. Greg Abbott.
Report: Michael Cohen's Business Partner Cooperating With Prosecutors,Evgeny Freidman has been Cohen’s partner in the taxi business for years.
Stacey Abrams Wins Democratic Primary For Georgia Governor,"If elected, the former party leader in the state legislature would be the nation’s first black female governor."
Gina Ortiz Jones Wins Democratic Runoff In Texas Congressional Race,The Iraq War veteran will now face GOP Rep. Will Hurd in November. She'll make history if she wins.
Fighter Pilot Amy McGrath Wins Democratic Primary In Kentucky Swing District,McGrath's victory continues the success women and political newcomers have found in Democratic primaries.
Trump Rallies Conservatives With Promise Of More Abortion Curbs,"The president, who just unveiled new restrictions on abortion services, sought the support of anti-abortion activists at Susan B. Anthony List's annual gala."
The ACLU Is Suing To Strike Down Ohio's Congressional Map,"The civil liberties group says Ohio's map is so heavily gerrymandered, it violates the Constitution."
The Latest School Shooting Hasn't Really Stirred The Gun Debate,"Santa Fe, unlike Parkland, doesn't seem to be significantly driving new calls for gun control."
House Republicans Report Progress On An Immigration Deal,But they might need a reality check.
Democrats Weren't Invited To Review Classified Documents On FBI Informant,Republicans have been demanding a look at documents about whether Obama planted a spy in the Trump campaign.
GOP Candidate Who Pointed Gun At Teenager Advances To Georgia Governor Primary Runoff,"In an ad, Brian Kemp said he would round up undocumented immigrants and ""take them home myself."""
Democrats Push To Be Included In Classified Briefing On FBI Informant,The top Democratic leaders warned a Republicans-only meeting would set a bad precedent for the Justice Department.
"Trump Praises Tomi Lahren After Restaurant Crowd Tosses Water, Insults",The president hailed the Fox News pundit as a “respected young woman.”
Sarah Sanders: It 'Bothers Me' Being Called A Liar,Except the White House press secretary gives false and misleading information all the time.
"Trump Blocking People On Twitter Is Unconstitutional, Judge Rules","The president's Twitter feed is a ""public forum,"" the judge found."
A Mostly Non-Christian Militia Won 2 Of Iraqi Christians' Parliamentary Seats. Now Christians Want Trump To Intervene.,The Babylon Brigade is led by a Christian but is tied to the brutal Iranian-backed Muslim paramilitary Badr Organization.
Tulsi Gabbard's Syria Views Cost Her Support Of Hawaii Teachers Union,The state's fourth-largest union had backed the Democratic congresswoman two years ago.
Jared Kushner Received His Security Clearance: Reports,The president's son-in-law had been using a temporary security clearance while the FBI performed a background check.
Arizona GOP Congressional Candidate Compares Abortion To Holocaust,"“The callousness that our country has for life is very disturbing,"" GOP candidate Wendy Rogers said."
Gun Reform Advocate Lucy McBath Heads To Runoff For Georgia House Seat,"McBath, whose son was shot dead in 2012, will be facing businessman Kevin Abel in a Democratic primary runoff on July 24."
Establishment-Backed Moderate Wins Heated Democratic House Primary In Texas,Lawyer Lizzie Fletcher beat progressive activist Laura Moser in a district Democrats hope to take from the GOP.
Senators Unveil Bill To Crack Down On Their Sexual Harassment,"It would require lawmakers to pay out of pocket for their misconduct, which some Republicans fought for months."
Shoppers Boycott Publix Over Store's Donations To NRA-Backed Candidate,"Adam Putnam, a self-described ""NRA sellout"" running for Florida governor, received $670,000 from the company."
Bill De Blasio Tells NYPD To Stop Arresting People For Smoking Pot On The Street,The recommendation comes days after the Manhattan district attorney pledged to stop prosecuting low-level marijuana cases.
"DHS Head Says She’s Still, Somehow, Unaware Of Intel On Russia Interference To Boost Trump",A publicly available 2017 assessment from the intelligence community concluded that Russia meddled in the 2016 election with a preference for Donald Trump.
Lawmaker Introduces Crowdfunding Bill To Pay For Trump's Border Wall,So Mexico's not paying for it?
GOP Lawmakers Will Soon Be Allowed To Review Classified Info On Russia Investigation,Trump wants to know whether an FBI informant infiltrated his campaign for political purposes.
The Georgia GOP Governor's Primary Focuses On Guns And Immigration,And here's a look at other key races in Tuesday's voting in four states.
Georgia Governor’s Primary Highlights Competing Visions For The Democratic Party,The contest between Stacey Abrams and Stacey Evans is a battle of divergent political strategies.
"California Moves To Let Schools, Co-workers 'Red Flag' Dangerous Gun Owners","The bill would expand the list of those who can petition to take away firearms beyond family, roommates and police."
"Talking Grievance And Health Care, An Outsider Kentucky Dem Found The Inside Track",Retired fighter pilot Amy McGrath’s upstart primary campaign thinks it's found a way to talk to disaffected voters.
